Leverano comune,Leverano comune.1
,
Leverano – VedutaChiesa e convento di Santa Maria delle Grazie,Leverano – VedutaChiesa e convento di Santa Maria delle Grazie
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Marcello Rolli (lista civica) dal 12-6-2022
Territorio,Territorio
Coordinate,40°17′N 18°05′E
Altitudine,37 m s.l.m.
Superficie,"49,5 km²"
Abitanti,13 336[1] (30-11-2025)
Densità,"269,41 ab./km²"
Comuni confinanti,"Arnesano, Carmiano, Copertino, Nardò, Veglie"
Altre informazioni,Altre informazioni
Cod. postale,73045
Prefisso,0832
Fuso orario,UTC+1
Codice ISTAT,075037
Cod. catastale,E563
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 197 GG[3]"
Nome abitanti,leveranesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Leverano,Leverano
Leverano – MappaPosizione del comune di Leverano all'interno della provincia di Lecce,Leverano – MappaPosizione del comune di Leverano all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
