Alessano comune,Alessano comune.1
,
Alessano – Veduta,Alessano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Osvaldo Stendardo (Cittadino al centro) dal 4-10-2021
Territorio,Territorio
Coordinate,39°53′N 18°20′E
Altitudine,140 m s.l.m.
Superficie,"28,69 km²"
Abitanti,5 990[1] (30-11-2025)
Densità,"208,78 ab./km²"
Frazioni,"Marina di Novaglie, Montesardo"
Comuni confinanti,"Castrignano del Capo, Corsano, Gagliano del Capo, Morciano di Leuca, Presicce-Acquarica, Salve, Specchia, Tiggiano, Tricase"
Altre informazioni,Altre informazioni
Cod. postale,73031
Prefisso,0833
Fuso orario,UTC+1
Codice ISTAT,075002
Cod. catastale,A184
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 204 GG[3]"
Nome abitanti,alessanesi
Patrono,san Trifone
Giorno festivo,ultimo lunedì di luglio
Cartografia,Cartografia
Alessano,Alessano
Alessano – MappaPosizione del comune di Alessano nella provincia di Lecce,Alessano – MappaPosizione del comune di Alessano nella provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
