Muro Leccese comune,Muro Leccese comune.1
,
Muro Leccese – VedutaPiazza del Popolo,Muro Leccese – VedutaPiazza del Popolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Antonio Lorenzo Donno (lista civica Uniti X Muro) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,40°06′N 18°20′E
Altitudine,82 m s.l.m.
Superficie,"16,77 km²"
Abitanti,4 581[1] (30-11-2025)
Densità,"273,17 ab./km²"
Comuni confinanti,"Giuggianello, Maglie, Palmariggi, Sanarica, Scorrano"
Altre informazioni,Altre informazioni
Cod. postale,73036
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075051
Cod. catastale,F816
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 213 GG[3]"
Nome abitanti,muresi
Patrono,Santissimo Crocifisso e Sant'Oronzo
Giorno festivo,3 maggio e 26 agosto
Cartografia,Cartografia
Muro Leccese,Muro Leccese
Muro Leccese – MappaPosizione del comune di Muro Leccese all'interno della provincia di Lecce,Muro Leccese – MappaPosizione del comune di Muro Leccese all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
