Calimera comune,Calimera comune.1
,
Calimera – VedutaPalazzo Comunale,Calimera – VedutaPalazzo Comunale
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Gianluca Tommasi (lista civica Calimera adesso) dal 21-9-2020
Territorio,Territorio
Coordinate,40°15′N 18°17′E
Altitudine,56 m s.l.m.
Superficie,"11,18 km²"
Abitanti,6 636[1] (30-11-2025)
Densità,"593,56 ab./km²"
Comuni confinanti,"Caprarica di Lecce, Carpignano Salentino, Castri di Lecce, Martano, Martignano, Melendugno, Vernole, Zollino"
Altre informazioni,Altre informazioni
Cod. postale,73021
Prefisso,0832
Fuso orario,UTC+1
Codice ISTAT,075010
Cod. catastale,B413
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 173 GG[3]"
Nome abitanti,calimeresi (Kalimeriti in grico)
Patrono,san Brizio e Maria SS. di Roca
Giorno festivo,29 luglio e primo sabato di maggio
Cartografia,Cartografia
Calimera,Calimera
Calimera – MappaPosizione del comune di Calimera all'interno della provincia di Lecce,Calimera – MappaPosizione del comune di Calimera all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
