Corigliano d'Otranto comune,Corigliano d'Otranto comune.1
,
Corigliano d'Otranto – Veduta,Corigliano d'Otranto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Addolorata Manti (lista civica Città di Tutti) dal 31-5-2015 (2º mandato dal 21-9-2020)
Territorio,Territorio
Coordinate,40°10′N 18°15′E
Altitudine,97 m s.l.m.
Superficie,"28,41 km²"
Abitanti,5 523[1] (30-11-2025)
Densità,"194,4 ab./km²"
Comuni confinanti,"Castrignano de' Greci, Cutrofiano, Galatina, Maglie, Martano, Melpignano, Sogliano Cavour, Soleto, Zollino"
Altre informazioni,Altre informazioni
Cod. postale,73022
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075023
Cod. catastale,D006
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 260 GG[3]"
Nome abitanti,"coriglianesi, o chorianì (in grico)"
Patrono,san Nicola di Mira
Giorno festivo,23 agosto
Cartografia,Cartografia
Corigliano d'Otranto,Corigliano d'Otranto
Corigliano d'Otranto – MappaPosizione del comune di Corigliano d'Otranto all'interno della provincia di Lecce,Corigliano d'Otranto – MappaPosizione del comune di Corigliano d'Otranto all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
