Sogliano Cavour comune,Sogliano Cavour comune.1
,
Sogliano Cavour – Veduta,Sogliano Cavour – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Giovanni Casarano (lista civica Liberi per cambiare) dal 21-9-2020
Territorio,Territorio
Coordinate,40°09′N 18°12′E
Altitudine,75 m s.l.m.
Superficie,"5,33 km²"
Abitanti,3 814[1] (30-11-2025)
Densità,"715,57 ab./km²"
Comuni confinanti,"Corigliano d'Otranto, Cutrofiano, Galatina"
Altre informazioni,Altre informazioni
Cod. postale,73010
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075075
Cod. catastale,I780
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 225 GG[3]"
Nome abitanti,soglianesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Sogliano Cavour,Sogliano Cavour
Sogliano Cavour – MappaPosizione del comune di Sogliano Cavour all'interno della provincia di Lecce,Sogliano Cavour – MappaPosizione del comune di Sogliano Cavour all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
