Neviano comune,Neviano comune.1
,
Neviano – VedutaCupola della Chiesa Madre,Neviano – VedutaCupola della Chiesa Madre
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Giuseppe Antonio Mighali (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,40°06′N 18°07′E
Altitudine,108 m s.l.m.
Superficie,"16,3 km²"
Abitanti,4 770[1] (30-11-2025)
Densità,"292,64 ab./km²"
Comuni confinanti,"Aradeo, Collepasso, Cutrofiano, Galatone, Parabita, Sannicola, Seclì, Tuglie"
Altre informazioni,Altre informazioni
Cod. postale,73040
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075053
Cod. catastale,F881
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 288 GG[3]"
Nome abitanti,nevianesi
Patrono,Madonna delle Nevi - San Michele Arcangelo
Giorno festivo,5 agosto - 29 settembre
Cartografia,Cartografia
Neviano,Neviano
Neviano – MappaPosizione del comune di Neviano all'interno della provincia di Lecce,Neviano – MappaPosizione del comune di Neviano all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
