Nardò comune,Nardò comune.1
,
"Nardò – VedutaPiazza Salandra, 2012","Nardò – VedutaPiazza Salandra, 2012"
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,"Giuseppe ""Pippi"" Mellone (lista civica Andare oltre) dal 5-6-2016 (2º mandato dal 4-10-2021)"
Territorio,Territorio
Coordinate,40°10′47″N 18°02′00″E
Altitudine,45 m s.l.m.
Superficie,"190,48 km²"
Abitanti,30 793[1] (30-11-2025)
Densità,"161,66 ab./km²"
Frazioni,"Boncore, Cenate, Corsari, Pagani, Pendinello, Pittuini, Roccacannuccia, Santa Caterina, Santa Maria al Bagno, Sant'Isidoro, Torre Inserraglio, Torre Squillace, Villaggio Resta"
Comuni confinanti,"Avetrana (TA), Copertino, Galatina, Galatone, Leverano, Porto Cesareo, Salice Salentino, Veglie"
Altre informazioni,Altre informazioni
Cod. postale,"73048, 73050"
Prefisso,0833
Fuso orario,UTC+1
Codice ISTAT,075052
Cod. catastale,F842
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 208 GG[3]"
Nome abitanti,neretini o neritini
Patrono,san Gregorio Armeno
Giorno festivo,20 febbraio
Cartografia,Cartografia
Nardò,Nardò
Nardò – MappaPosizione del comune di Nardò all'interno della provincia di Lecce,Nardò – MappaPosizione del comune di Nardò all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
