Spongano comune,Spongano comune.1
,
Spongano – VedutaLa Torre dell'Orologio,Spongano – VedutaLa Torre dell'Orologio
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Luigi Rizzello (lista civica Progetto Spongano) dal 10-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,40°01′N 18°22′E
Altitudine,96 m s.l.m.
Superficie,"12,42 km²"
Abitanti,3 405[1] (30-11-2025)
Densità,"274,15 ab./km²"
Comuni confinanti,"Andrano, Diso, Ortelle, Poggiardo, Surano"
Altre informazioni,Altre informazioni
Cod. postale,73038
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075078
Cod. catastale,I923
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 240 GG[3]"
Nome abitanti,sponganesi
Patrono,santa Vittoria
Giorno festivo,8 agosto
Cartografia,Cartografia
Spongano,Spongano
Spongano – MappaPosizione del comune di Spongano all'interno della provincia di Lecce,Spongano – MappaPosizione del comune di Spongano all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
