Lecce comune,Lecce comune.1
,
Lecce – Veduta,Lecce – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Adriana Poli Bortone (IS) dal 27-6-2024
Lingue ufficiali,italiano
Territorio,Territorio
Coordinate,40°21′07.24″N 18°10′08.9″E
Altitudine,49 m s.l.m.
Superficie,241[1] km²
Abitanti,94 373[2] (30-11-2025)
Densità,"391,59 ab./km²"
Frazioni,"Frigole, San Cataldo, San Ligorio, Torre Chianca, Torre Rinalda, Villa Convento"
Comuni confinanti,"Arnesano, Cavallino, Lequile, Lizzanello, Monteroni di Lecce, Novoli, San Cesario di Lecce, Squinzano, Surbo, Torchiarolo (BR), Trepuzzi, Vernole"
Altre informazioni,Altre informazioni
Cod. postale,7310073010
Prefisso,0832
Fuso orario,UTC+1
Codice ISTAT,075035
Cod. catastale,E506
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona C, 1 153 GG[4]"
Nome abitanti,leccesi
Patrono,"Santi Oronzo, Giusto e Fortunato"
Giorno festivo,26 agosto
Cartografia,Cartografia
Lecce,Lecce
Lecce – MappaPosizione del comune di Lecce all'interno dell'omonima provincia,Lecce – MappaPosizione del comune di Lecce all'interno dell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
