Cavallino comune,Cavallino comune.1
,
Cavallino – VedutaPiazza Sigismondo Castromediano,Cavallino – VedutaPiazza Sigismondo Castromediano
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Bruno Ciccarese (lista civica di centro-destra Gorgoni) dal 6-6-2016 (2º mandato dal 5-10-2021)
Territorio,Territorio
Coordinate,40°18′36.72″N 18°12′07.96″E
Altitudine,38 m s.l.m.
Superficie,"22,65 km²"
Abitanti,12 990[1] (30-11-2025)
Densità,"573,51 ab./km²"
Frazioni,Castromediano
Comuni confinanti,"Caprarica di Lecce, Lecce, Lizzanello, San Cesario di Lecce, San Donato di Lecce"
Altre informazioni,Altre informazioni
Cod. postale,73020
Prefisso,0832
Fuso orario,UTC+1
Codice ISTAT,075020
Cod. catastale,C377
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 104 GG[3]"
Nome abitanti,cavallinesi
Patrono,san Domenico
Giorno festivo,4 agosto
Cartografia,Cartografia
Cavallino,Cavallino
Cavallino – MappaPosizione del comune di Cavallino all'interno della provincia di Lecce,Cavallino – MappaPosizione del comune di Cavallino all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
