Tricase comune,Tricase comune.1
,
Tricase – Veduta,Tricase – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Antonio De Donno (lista civica di centro-sinistra) dal 6-10-2020
Territorio,Territorio
Coordinate,39°56′N 18°22′E
Altitudine,98 m s.l.m.
Superficie,"43,33 km²"
Abitanti,16 946[1] (30-11-2025)
Densità,"391,09 ab./km²"
Frazioni,"Depressa, Lucugnano"
Comuni confinanti,"Alessano, Andrano, Miggiano, Montesano Salentino, Specchia, Tiggiano"
Altre informazioni,Altre informazioni
Cod. postale,73039
Prefisso,0833
Fuso orario,UTC+1
Codice ISTAT,075088
Cod. catastale,L419
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 183 GG[3]"
Nome abitanti,tricasini
Patrono,san Vito
Giorno festivo,15 giugno
PIL procapite,(nominale) 15152 (al 2013)
Cartografia,Cartografia
Tricase,Tricase
Tricase – MappaPosizione del comune di Tricase all'interno della provincia di Lecce,Tricase – MappaPosizione del comune di Tricase all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
