Porto Cesareo comune,Porto Cesareo comune.1
,
Porto Cesareo – Veduta,Porto Cesareo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Emanuela Pellegrino (commissario prefettizio) dal 6-1-2026
Data di istituzione,16-5-1975
Territorio,Territorio
Coordinate,40°15′48″N 17°54′04″E
Altitudine,3 m s.l.m.
Superficie,"35,13 km²"
Abitanti,6 497[1] (30-11-2025)
Densità,"184,94 ab./km²"
Frazioni,"Case sparse, Chiuserelle, Colarizzo, Console, Eurovillage, Il Poggio, La Strea, Padula Fede, Punta Prosciutto, Salmenta, Scala di Furno, Scinnute, Torre Castiglione, Torre Lapillo[2]"
Comuni confinanti,"Avetrana (TA), Manduria (TA), Nardò"
Altre informazioni,Altre informazioni
Cod. postale,73010
Prefisso,0833
Fuso orario,UTC+1
Codice ISTAT,075097
Cod. catastale,M263
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona C, 1 154 GG[4]"
Nome abitanti,cesarini
Patrono,Beata Vergine Maria del Perpetuo Soccorso
Giorno festivo,21 agosto
Cartografia,Cartografia
Porto Cesareo,Porto Cesareo
Porto Cesareo – MappaPosizione del comune di Porto Cesareo all'interno della provincia di Lecce,Porto Cesareo – MappaPosizione del comune di Porto Cesareo all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
