Patù comune,Patù comune.1
,
Patù – Veduta,Patù – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Gabriele Abaterusso (lista civica Centopietre) dal 5-6-2016
Territorio,Territorio
Coordinate,39°49′37.47″N 18°19′01.11″E
Altitudine,124 m s.l.m.
Superficie,"8,69 km²"
Abitanti,1 648[1] (30-11-2025)
Densità,"189,64 ab./km²"
Frazioni,"Felloniche, Marina di San Gregorio"
Comuni confinanti,"Castrignano del Capo, Morciano di Leuca"
Altre informazioni,Altre informazioni
Cod. postale,73053
Prefisso,0833
Fuso orario,UTC+1
Codice ISTAT,075060
Cod. catastale,G378
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 097 GG[3]"
Nome abitanti,"Patusci, patuensi, veretini"
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Patù,Patù
Patù – MappaPosizione del comune di Patù all'interno della provincia di Lecce,Patù – MappaPosizione del comune di Patù all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
