Alezio comune,Alezio comune.1
,
Alezio – Veduta,Alezio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Andrea Vito Barone (lista civica) dal 10-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,40°04′N 18°03′E
Altitudine,75 m s.l.m.
Superficie,"16,79 km²"
Abitanti,5 650[1] (30-11-2025)
Densità,"336,51 ab./km²"
Comuni confinanti,"Gallipoli, Matino, Parabita, Sannicola, Tuglie"
Altre informazioni,Altre informazioni
Cod. postale,73011
Prefisso,0833
Fuso orario,UTC+1
Codice ISTAT,075003
Cod. catastale,A185
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 079 GG[3]"
Nome abitanti,aletini
Patrono,Madonna dell'Assunta
Giorno festivo,15 agosto[4]
Motto,(LA) Post Fata Resurgo (Dopo la fatalità risorgo)
Cartografia,Cartografia
Alezio,Alezio
Alezio – MappaPosizione del comune di Alezio nella provincia di Lecce,Alezio – MappaPosizione del comune di Alezio nella provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
