Melissano comune,Melissano comune.1
,
Melissano – Veduta,Melissano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Alessandro Conte (lista civica Insieme per Melissano) dal 6-6-2016 (2º mandato dal 14-10-2021)
Territorio,Territorio
Coordinate,39°58′N 18°08′E
Altitudine,59 m s.l.m.
Superficie,"12,55 km²"
Abitanti,6 529[1] (30-11-2025)
Densità,"520,24 ab./km²"
Comuni confinanti,"Casarano, Matino, Racale, Taviano, Ugento"
Altre informazioni,Altre informazioni
Cod. postale,73040
Prefisso,0833
Fuso orario,UTC+1
Codice ISTAT,075044
Cod. catastale,F109
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 100 GG[3]"
Nome abitanti,melissanesi
Patrono,sant'Antonio di Padova
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Melissano,Melissano
Melissano – MappaPosizione del comune di Melissano all'interno della provincia di Lecce,Melissano – MappaPosizione del comune di Melissano all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
