Andrano comune,Andrano comune.1
,
Andrano – VedutaPiazza Castello,Andrano – VedutaPiazza Castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Salvatore Musarò (lista civica Unione Popolare) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,39°59′N 18°23′E
Altitudine,110 m s.l.m.
Superficie,"15,71 km²"
Abitanti,4 415[1] (30-11-2025)
Densità,"281,03 ab./km²"
Frazioni,"Castiglione d'Otranto, Marina di Andrano"
Comuni confinanti,"Diso, Montesano Salentino, Spongano, Surano, Tricase"
Altre informazioni,Altre informazioni
Cod. postale,73032
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075005
Cod. catastale,A281
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 296 GG[3]"
Nome abitanti,andranesi
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Andrano,Andrano
Andrano – MappaPosizione del comune di Andrano all'interno della provincia di Lecce,Andrano – MappaPosizione del comune di Andrano all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
