Monteroni di Lecce comune,Monteroni di Lecce comune.1
,
Monteroni di Lecce – Veduta,Monteroni di Lecce – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Mariolina Pizzuto (lista civica Forza popolare) dal 21-9-2020
Territorio,Territorio
Coordinate,40°20′N 18°06′E
Altitudine,35 m s.l.m.
Superficie,"16,74 km²"
Abitanti,13 155[1] (30-11-2025)
Densità,"785,84 ab./km²"
Comuni confinanti,"Arnesano, Copertino, Lecce, Lequile, San Pietro in Lama"
Altre informazioni,Altre informazioni
Cod. postale,73047
Prefisso,0832
Fuso orario,UTC+1
Codice ISTAT,075048
Cod. catastale,F604
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 055 GG[3]"
Nome abitanti,monteronesi
Patrono,sant'Antonio di Padova
Giorno festivo,prima domenica di agosto
Cartografia,Cartografia
Monteroni di Lecce,Monteroni di Lecce
Monteroni di Lecce – MappaPosizione del comune di Monteroni di Lecce all'interno della provincia di Lecce,Monteroni di Lecce – MappaPosizione del comune di Monteroni di Lecce all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
