Taurisano comune,Taurisano comune.1
,
Taurisano – Veduta,Taurisano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Luigi Guidano (lista civica Ripartire Insieme) dal 4-10-2021
Territorio,Territorio
Coordinate,39°57′24.49″N 18°13′12.04″E
Altitudine,110 m s.l.m.
Superficie,"23,68 km²"
Abitanti,11 063[1] (30-11-2025)
Densità,"467,19 ab./km²"
Comuni confinanti,"Miggiano, Presicce-Acquarica, Ruffano, Ugento"
Altre informazioni,Altre informazioni
Cod. postale,73056
Prefisso,0833
Fuso orario,UTC+1
Codice ISTAT,075084
Cod. catastale,L064
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 340 GG[3]"
Nome abitanti,taurisanesi
Patrono,santo Stefano
Giorno festivo,26 dicembre - 3 agosto
Cartografia,Cartografia
Taurisano,Taurisano
Taurisano – MappaPosizione del comune di Taurisano all'interno della provincia di Lecce,Taurisano – MappaPosizione del comune di Taurisano all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
