Soleto comune,Soleto comune.1
,
Soleto – Veduta,Soleto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Graziano Vantaggiato (lista civica) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,40°11′15.8″N 18°12′26.5″E
Altitudine,90 m s.l.m.
Superficie,"30,46 km²"
Abitanti,5 087[1] (30-11-2025)
Densità,"167,01 ab./km²"
Comuni confinanti,"Corigliano d'Otranto, Galatina, Lequile, San Donato di Lecce, Sternatia, Zollino"
Altre informazioni,Altre informazioni
Cod. postale,73010
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075076
Cod. catastale,I800
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 216 GG[3]"
Nome abitanti,Soletani o Sulitàni (in dialetto locale)
Patrono,"sant'Antonio di Padova, Santa Maria delle Grazie (compatrona)"
Giorno festivo,13 giugno - 4 agosto
Cartografia,Cartografia
Soleto,Soleto
Soleto – MappaPosizione del comune di Soleto all'interno della provincia di Lecce,Soleto – MappaPosizione del comune di Soleto all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
