Gallipoli comune,Gallipoli comune.1
,
Gallipoli – VedutaPanorama dell'isola del centro storico.,Gallipoli – VedutaPanorama dell'isola del centro storico.
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Eufemia Tarsia (commissario prefettizio) dal 23-10-2025
Territorio,Territorio
Coordinate,40°03′20″N 17°59′30″E
Altitudine,12 m s.l.m.
Superficie,"41,22 km²"
Abitanti,18 851[1] (30-11-2025)
Densità,"457,33 ab./km²"
Frazioni,"Baia Verde, Lido Conchiglie, Rivabella, Padula Bianca, Pizzo"
Comuni confinanti,"Alezio, Galatone, Matino, Sannicola, Taviano[2]"
Altre informazioni,Altre informazioni
Cod. postale,73014
Prefisso,0833
Fuso orario,UTC+1
Codice ISTAT,075031
Cod. catastale,D883
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona C, 999 GG[4]"
Nome abitanti,gallipolini gallipolitani (in antichità)
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Gallipoli,Gallipoli
Gallipoli – MappaPosizione del comune di Gallipoli nella provincia di Lecce,Gallipoli – MappaPosizione del comune di Gallipoli nella provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
