Surano comune,Surano comune.1
,
Surano – VedutaPiazza del Municipio,Surano – VedutaPiazza del Municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Francesco Rizzo (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,40°02′N 18°21′E
Altitudine,102 m s.l.m.
Superficie,"8,99 km²"
Abitanti,1 479[1] (30-11-2025)
Densità,"164,52 ab./km²"
Comuni confinanti,"Andrano, Montesano Salentino, Nociglia, Poggiardo, Spongano"
Altre informazioni,Altre informazioni
Cod. postale,73030
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075082
Cod. catastale,L010
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 286 GG[3]"
Nome abitanti,suranesi
Patrono,Madonna Assunta e San Rocco
Giorno festivo,15-16 Agosto
Cartografia,Cartografia
Surano,Surano
Surano – MappaPosizione del comune di Surano nella provincia di Lecce,Surano – MappaPosizione del comune di Surano nella provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
