Castro comune,Castro comune.1
,
Castro – Veduta,Castro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Mauro Papa (Commissario Prefettizio) dal 31-12-2025
Territorio,Territorio
Coordinate,40°00′25.28″N 18°25′32.64″E
Altitudine,98 m s.l.m.
Superficie,"4,56 km²"
Abitanti,2 281[1] (30-11-2025)
Densità,"500,22 ab./km²"
Comuni confinanti,"Diso, Ortelle, Santa Cesarea Terme"
Altre informazioni,Altre informazioni
Cod. postale,73030
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075096
Cod. catastale,M261
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 243 GG[3]"
Nome abitanti,castrensi
Patrono,Maria SS. Annunziata
Giorno festivo,25 aprile
Cartografia,Cartografia
Castro,Castro
Castro – MappaPosizione del comune di Castro nella provincia di Lecce,Castro – MappaPosizione del comune di Castro nella provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
