Zollino comune,Zollino comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Paolo Catalano (lista civica Zollino Futura) dal 10-06-2024
Territorio,Territorio
Coordinate,40°12′N 18°15′E
Altitudine,90 m s.l.m.
Superficie,"9,95 km²"
Abitanti,1 812[1] (30-11-2025)
Densità,"182,11 ab./km²"
Comuni confinanti,"Corigliano d'Otranto, Martano, Martignano, Soleto, Sternatia, Calimera."
Altre informazioni,Altre informazioni
Cod. postale,73010
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075094
Cod. catastale,M187
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 206 GG[3]"
Nome abitanti,zollinesi o tsuḍḍinì (in grico)
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno e 23 agosto
Cartografia,Cartografia
Zollino,Zollino
Zollino – MappaPosizione del comune di Zollino all'interno della provincia di Lecce,Zollino – MappaPosizione del comune di Zollino all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
