Sannicola comune,Sannicola comune.1
,
Sannicola – VedutaAbbazia di San Mauro,Sannicola – VedutaAbbazia di San Mauro
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Graziano Scorrano (lista civica Sannicola cambia) dal 15-5-2023
Territorio,Territorio
Coordinate,40°06′N 18°04′E
Altitudine,75 m s.l.m.
Superficie,"27,64 km²"
Abitanti,5 531[1] (30-11-2025)
Densità,"200,11 ab./km²"
Frazioni,"Chiesanuova, Lido Conchiglie, San Simone"
Comuni confinanti,"Alezio, Galatone, Gallipoli, Neviano, Tuglie"
Altre informazioni,Altre informazioni
Cod. postale,73017
Prefisso,0833
Fuso orario,UTC+1
Codice ISTAT,075070
Cod. catastale,I059
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 079 GG[3]"
Nome abitanti,sannicolesi
Patrono,Madonna delle Grazie
Giorno festivo,8 settembre
Cartografia,Cartografia
Sannicola,Sannicola
Sannicola – MappaPosizione del comune di Sannicola all'interno della provincia di Lecce,Sannicola – MappaPosizione del comune di Sannicola all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
