Castrignano del Capo comune,Castrignano del Capo comune.1
,
Castrignano del Capo – VedutaPiazza Mercato,Castrignano del Capo – VedutaPiazza Mercato
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Francesco Petracca (lista civica Obiettivo Comune) dal 4-10-2021
Territorio,Territorio
Coordinate,39°50′N 18°21′E
Altitudine,121 m s.l.m.
Superficie,"20,77 km²"
Abitanti,5 058[1] (30-11-2025)
Densità,"243,52 ab./km²"
Frazioni,"Giuliano di Lecce, Salignano, Santa Maria di Leuca"
Comuni confinanti,"Alessano, Gagliano del Capo, Morciano di Leuca, Patù"
Altre informazioni,Altre informazioni
Cod. postale,73040
Prefisso,0833
Fuso orario,UTC+1
Codice ISTAT,075019
Cod. catastale,C336
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 116 GG[3]"
Nome abitanti,Castrignanesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Castrignano del Capo,Castrignano del Capo
Castrignano del Capo – MappaPosizione del comune di Castrignano del Capo all'interno della provincia di Lecce,Castrignano del Capo – MappaPosizione del comune di Castrignano del Capo all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
