Presicce-Acquarica comune,Presicce-Acquarica comune.1
Presicce-Acquarica – VedutaChiesa di Sant'Andrea di Presicce con la colonna antistante.,Presicce-Acquarica – VedutaChiesa di Sant'Andrea di Presicce con la colonna antistante.
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Paolo Rizzo (lista civica) dal 21-9-2020
Data di istituzione,15 maggio 2019
Territorio,Territorio
Coordinate,39°54′11.62″N 18°15′16.58″E
Altitudine,104 m s.l.m.
Superficie,"43,06 km²"
Abitanti,9 055[1] (30-11-2025)
Densità,"210,29 ab./km²"
Comuni confinanti,"Alessano, Ruffano, Salve, Specchia, Taurisano, Ugento"
Altre informazioni,Altre informazioni
Cod. postale,73054
Prefisso,0833
Fuso orario,UTC+1
Codice ISTAT,075098
Cod. catastale,M428
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,"presiccesi (Presicce), acquaricesi (Acquarica)"
Patrono,"Sant’Andrea Apostolo, San Carlo Borromeo"
Cartografia,Cartografia
Presicce-Acquarica,Presicce-Acquarica
Presicce-Acquarica – MappaPosizione del comune di Presicce-Acquarica nella provincia di Lecce,Presicce-Acquarica – MappaPosizione del comune di Presicce-Acquarica nella provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
