Ugento comune,Ugento comune.1
,
Ugento – Veduta,Ugento – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Salvatore Chiga (Cittadini protagonisti) dal 4-10-2021
Territorio,Territorio
Coordinate,39°56′N 18°10′E
Altitudine,108 m s.l.m.
Superficie,"100,4 km²"
Abitanti,11 929[1] (30-11-2025)
Densità,"118,81 ab./km²"
Frazioni,"Gemini, Torre San Giovanni, una parte di Lido Marini, Torre Mozza"
Comuni confinanti,"Alliste, Casarano, Melissano, Presicce-Acquarica, Racale, Ruffano, Salve, Taurisano"
Altre informazioni,Altre informazioni
Cod. postale,73059
Prefisso,0833
Fuso orario,UTC+1
Codice ISTAT,075090
Cod. catastale,L484
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 163 GG[3]"
Nome abitanti,ugentini
Patrono,san Vincenzo di Saragozza
Giorno festivo,22 gennaio
Cartografia,Cartografia
Ugento,Ugento
Ugento – MappaPosizione del comune di Ugento nella provincia di Lecce,Ugento – MappaPosizione del comune di Ugento nella provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
