Vernole comune,Vernole comune.1
,
Vernole – Veduta,Vernole – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Mauro De Carlo (lista civica Punto e a capo) dal 15-5-2023
Territorio,Territorio
Coordinate,40°17′N 18°18′E
Altitudine,38 m s.l.m.
Superficie,"60,57[1] km²"
Abitanti,6 539[2] (30-11-2025)
Densità,"107,96 ab./km²"
Frazioni,"Acaya, Acquarica di Lecce, San Cataldo (parte), Pisignano, Strudà, Torre Specchia (parte), Vanze"
Comuni confinanti,"Calimera, Castri di Lecce, Lecce, Lizzanello, Melendugno"
Altre informazioni,Altre informazioni
Cod. postale,73029
Prefisso,0832
Fuso orario,UTC+1
Codice ISTAT,075093
Cod. catastale,L776
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona C, 1 104 GG[4]"
Nome abitanti,vernolesi
Patrono,sant'Anna e san Gioacchino
Giorno festivo,25 e 26 luglio
Cartografia,Cartografia
Vernole,Vernole
Vernole – MappaPosizione del comune di Vernole all'interno della provincia di Lecce,Vernole – MappaPosizione del comune di Vernole all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
