Uggiano la Chiesa comune,Uggiano la Chiesa comune.1
,
Uggiano la Chiesa – Veduta,Uggiano la Chiesa – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Stefano Andrea De Paola (lista civica) dal 21-9-2020
Territorio,Territorio
Coordinate,40°06′06.21″N 18°26′57.6″E
Altitudine,77 m s.l.m.
Superficie,"14,46 km²"
Abitanti,4 321[1] (30-11-2025)
Densità,"298,82 ab./km²"
Frazioni,Casamassella
Comuni confinanti,"Giurdignano, Minervino di Lecce, Otranto, Santa Cesarea Terme"
Altre informazioni,Altre informazioni
Cod. postale,73020
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075091
Cod. catastale,L485
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 120 GG[3]"
Nome abitanti,Uggianesi
Patrono,Santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Uggiano la Chiesa,Uggiano la Chiesa
Uggiano la Chiesa – MappaPosizione del comune di Uggiano la Chiesa all'interno della provincia di Lecce,Uggiano la Chiesa – MappaPosizione del comune di Uggiano la Chiesa all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
