Maglie comune,Maglie comune.1
,
Maglie – VedutaChiesa Matrice - Presentazione del Signore,Maglie – VedutaChiesa Matrice - Presentazione del Signore
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Ernesto Toma (lista civica Sìamo Maglie) dal 22-9-2020
Territorio,Territorio
Coordinate,40°07′N 18°18′E
Altitudine,81 m s.l.m.
Superficie,"22,66 km²"
Abitanti,13 069[1] (30-11-2025)
Densità,"576,74 ab./km²"
Frazioni,Morigino
Comuni confinanti,"Bagnolo del Salento, Corigliano d'Otranto, Cursi, Cutrofiano, Melpignano, Muro Leccese, Palmariggi, Scorrano"
Altre informazioni,Altre informazioni
Cod. postale,73024
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075039
Cod. catastale,E815
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 240 GG[3]"
Nome abitanti,magliesi
Patrono,"san Nicola Vescovo  Madonna delle Grazie, sant'Oronzo Vescovo"
Giorno festivo,9 maggio
Cartografia,Cartografia
Maglie,Maglie
Maglie – MappaPosizione del comune di Maglie all'interno della provincia di Lecce,Maglie – MappaPosizione del comune di Maglie all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
