Carpignano Salentino comune,Carpignano Salentino comune.1
,
Carpignano Salentino – Veduta,Carpignano Salentino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Mario Bruno Caputo (lista civica Libertà e democrazia) dal 10-6-2024
Territorio,Territorio
Coordinate,40°11′49.36″N 18°20′18.29″E
Altitudine,75 m s.l.m.
Superficie,"48,99 km²"
Abitanti,3 617[1] (30-11-2025)
Densità,"73,83 ab./km²"
Frazioni,Serrano
Comuni confinanti,"Calimera, Cannole, Castrignano de' Greci, Martano, Melendugno, Otranto"
Altre informazioni,Altre informazioni
Cod. postale,73020
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075015
Cod. catastale,B822
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 232 GG[3]"
Nome abitanti,carpignanesi
Patrono,Madonna della Grotta
Giorno festivo,2 luglio
Cartografia,Cartografia
Carpignano Salentino,Carpignano Salentino
Carpignano Salentino – MappaPosizione del comune di Carpignano Salentino all'interno della provincia di Lecce,Carpignano Salentino – MappaPosizione del comune di Carpignano Salentino all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
