Seclì comune,Seclì comune.1
,
Seclì – Veduta,Seclì – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Andrea Finamore (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,40°08′N 18°06′E
Altitudine,76 m s.l.m.
Superficie,"8,78 km²"
Abitanti,1 785[1] (30-11-2025)
Densità,"203,3 ab./km²"
Comuni confinanti,"Aradeo, Galatina, Galatone, Neviano"
Altre informazioni,Altre informazioni
Cod. postale,73050
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075074
Cod. catastale,I559
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Nome abitanti,seclioti
Patrono,"san Paolo apostolo, sant'Antonio di Padova"
Giorno festivo,"25 gennaio, 13 giugno, 31 luglio"
Cartografia,Cartografia
Seclì,Seclì
Seclì – MappaPosizione del comune di Seclì all'interno della provincia di Lecce,Seclì – MappaPosizione del comune di Seclì all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
