Aradeo comune,Aradeo comune.1
,
Aradeo – VedutaPorta San Nicola,Aradeo – VedutaPorta San Nicola
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Giovanni Mauro (lista civica Aradeo cambia) dal 12-6-2022
Territorio,Territorio
Coordinate,40°08′N 18°08′E
Altitudine,76 m s.l.m.
Superficie,"8,58 km²"
Abitanti,8 794[1] (30-11-2025)
Densità,"1 024,94 ab./km²"
Comuni confinanti,"Cutrofiano, Galatina, Neviano, Seclì"
Altre informazioni,Altre informazioni
Cod. postale,73040
Prefisso,0836
Fuso orario,UTC+1
Codice ISTAT,075006
Cod. catastale,A350
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 148 GG[3]"
Nome abitanti,aradeini (ddaraddoti in dialetto locale)
Patrono,san Nicola di Mira
Giorno festivo,seconda domenica di maggio
Cartografia,Cartografia
Aradeo,Aradeo
Aradeo – MappaPosizione del comune di Aradeo all'interno della provincia di Lecce,Aradeo – MappaPosizione del comune di Aradeo all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
