Novoli comune,Novoli comune.1
,
Novoli – Veduta,Novoli – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Lecce
Amministrazione,Amministrazione
Sindaco,Marco De Luca (lista civica Uniti per Novoli) dal 09-06-2024
Territorio,Territorio
Coordinate,40°23′N 18°03′E
Altitudine,37 m s.l.m.
Superficie,"18,08 km²"
Abitanti,7 436[1] (30-11-2025)
Densità,"411,28 ab./km²"
Frazioni,Villa Convento
Comuni confinanti,"Arnesano, Campi Salentina, Carmiano, Lecce, Trepuzzi, Veglie"
Altre informazioni,Altre informazioni
Cod. postale,73051
Prefisso,0832
Fuso orario,UTC+1
Codice ISTAT,075055
Cod. catastale,F970
Targa,LE
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 091 GG[3]"
Nome abitanti,Novolesi
Patrono,sant'Antonio Abate e Maria Ss.ma del Pane
Giorno festivo,17 gennaio e terza domenica di luglio
Cartografia,Cartografia
Novoli,Novoli
Novoli – MappaPosizione del comune di Novoli all'interno della provincia di Lecce,Novoli – MappaPosizione del comune di Novoli all'interno della provincia di Lecce
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
