Santeramo in Colle comune,Santeramo in Colle comune.1
,
Santeramo in Colle – VedutaPalazzo di Città,Santeramo in Colle – VedutaPalazzo di Città
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Vincenzo Luciano Casone (PD) dal 23-6-2024
Data di istituzione,19-1-1863
Territorio,Territorio
Coordinate,40°48′N 16°46′E
Altitudine,489[1] m s.l.m.
Superficie,"144,86 km²"
Abitanti,25 595[2] (30-11-2025)
Densità,"176,69 ab./km²"
Frazioni,"Jazzitiello, Alessandriello, Iesce, Guardiola, Vallone della Silica"
Comuni confinanti,"Acquaviva delle Fonti, Altamura, Cassano delle Murge, Gioia del Colle, Laterza (TA), Matera (MT)"
Altre informazioni,Altre informazioni
Cod. postale,70029
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072041
Cod. catastale,I330
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 884 GG[4]"
Nome abitanti,santermani
Patrono,"sant'Erasmo V.M., san Francesco Saverio (compatrono)"
Giorno festivo,2 giugno
Cartografia,Cartografia
Santeramo in Colle,Santeramo in Colle
Santeramo in Colle – MappaPosizione del comune di Santeramo in Colle all'interno della città metropolitana di Bari,Santeramo in Colle – MappaPosizione del comune di Santeramo in Colle all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
