Noci comune,Noci comune.1
,
Noci – VedutaPanorama del centro storico di Noci dalla chiesa Matrice,Noci – VedutaPanorama del centro storico di Noci dalla chiesa Matrice
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Francesco Intini (liste civiche di centro-sinistra) dal 29-5-2023
Data di istituzione,17 marzo 1861
Territorio,Territorio
Coordinate,40°48′N 17°08′E
Altitudine,420 m s.l.m.
Superficie,"148,2 km²"
Abitanti,18 078[1] (30-11-2025)
Densità,"121,98 ab./km²"
Frazioni,"Lamadacqua, Monte Imperatore"
Comuni confinanti,"Putignano, Castellana Grotte, Gioia del Colle, Mottola (TA), Alberobello"
Altre informazioni,Altre informazioni
Cod. postale,70015
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072031
Cod. catastale,F915
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 785 GG[3]"
Nome abitanti,nocesi
Patrono,"Madonna Addolorata, san Rocco, Madonna della Croce"
Giorno festivo,3 maggio (Madonna della Croce) - prima domenica di settembre (san Rocco)
Cartografia,Cartografia
Noci,Noci
Noci – MappaPosizione del comune di Noci all'interno della città metropolitana di Bari,Noci – MappaPosizione del comune di Noci all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
