Sannicandro di Bari comune,Sannicandro di Bari comune.1
,
Sannicandro di Bari – Veduta,Sannicandro di Bari – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Giuseppe Giannone (Lista civica Una nuova Sannicandro Insieme) dal 7-6-2016 (2º mandato dal 4-10-2021)
Data di istituzione,19 gennaio 1863
Territorio,Territorio
Coordinate,41°00′N 16°48′E
Altitudine,183 m s.l.m.
Superficie,"56,79 km²"
Abitanti,9 604[1] (30-11-2025)
Densità,"169,11 ab./km²"
Comuni confinanti,"Acquaviva delle Fonti, Adelfia, Binetto, Bitetto, Bitritto, Cassano delle Murge, Grumo Appula"
Altre informazioni,Altre informazioni
Cod. postale,70028
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072040
Cod. catastale,I053
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 444 GG[3]"
Nome abitanti,sannicandresi
Patrono,"San Giuseppe, SS. Croce"
Giorno festivo,ultima domenica di giugno - ultima domenica di settembre
Cartografia,Cartografia
Sannicandro di Bari,Sannicandro di Bari
Sannicandro di Bari – MappaPosizione del comune di Sannicandro di Bari all'interno della città metropolitana di Bari,Sannicandro di Bari – MappaPosizione del comune di Sannicandro di Bari all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
