Sammichele di Bari comune,Sammichele di Bari comune.1
(dettagli),(dettagli)
Sammichele di Bari – VedutaCastello Caracciolo,Sammichele di Bari – VedutaCastello Caracciolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Lorenzo Netti (Sammichele per tutti) dal 12-6-2017 (2º mandato dal 14-6-2022)
Data di istituzione,19-1-1863
Territorio,Territorio
Coordinate,40°53′N 16°57′E
Altitudine,280 m s.l.m.
Superficie,"34,23 km²"
Abitanti,5 924[1] (30-11-2025)
Densità,"173,06 ab./km²"
Comuni confinanti,"Gioia del Colle, Turi, Casamassima, Acquaviva delle Fonti"
Altre informazioni,Altre informazioni
Cod. postale,70010
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072039
Cod. catastale,H749
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 735 GG[3]"
Nome abitanti,sammichelini o casalini
Patrono,"san Michele Arcangelo, san Vito"
Giorno festivo,(8-9 maggio) secondi sabato e domenica di maggio primi sabato e domenica di settembre
Cartografia,Cartografia
Sammichele di Bari,Sammichele di Bari
Sammichele di Bari – MappaPosizione del comune di Sammichele di Bari all'interno della città metropolitana di Bari,Sammichele di Bari – MappaPosizione del comune di Sammichele di Bari all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
