Triggiano comune,Triggiano comune.1
,
Triggiano – Veduta,Triggiano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Giuseppe Toscano (M5S) dal 12-6-2025
Data di istituzione,17 marzo 1861
Territorio,Territorio
Coordinate,41°04′N 16°55′E
Altitudine,60 m s.l.m.
Superficie,"20,11 km²"
Abitanti,25 588[1] (30-11-2025)
Densità,"1 272,4 ab./km²"
Comuni confinanti,"Bari, Capurso, Noicattaro"
Altre informazioni,Altre informazioni
Cod. postale,70019
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072046
Cod. catastale,L425
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 258 GG[3]"
Nome abitanti,triggianesi
Patrono,Maria SS. della Croce
Giorno festivo,terza domenica di settembre (Maria SS. della Croce)
Cartografia,Cartografia
Triggiano,Triggiano
Triggiano – MappaPosizione del comune di Triggiano all'interno della città metropolitana di Bari,Triggiano – MappaPosizione del comune di Triggiano all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
