Valenzano comune,Valenzano comune.1
,
Valenzano – VedutaScorcio della chiesa di Ognissanti,Valenzano – VedutaScorcio della chiesa di Ognissanti
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Giampaolo Romanazzi (Indipendente di centro-sinistra) dal 29-05-2023
Data di istituzione,17 marzo 1861
Territorio,Territorio
Coordinate,41°03′N 16°53′E
Altitudine,85 m s.l.m.
Superficie,"15,98 km²"
Abitanti,17 141[1] (30-11-2025)
Densità,"1 072,65 ab./km²"
Frazioni,Lamie
Comuni confinanti,"Adelfia, Bari, Capurso, Casamassima"
Altre informazioni,Altre informazioni
Cod. postale,70010
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072048
Cod. catastale,L571
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 303 GG[3]"
Nome abitanti,valenzanesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Valenzano,Valenzano
Valenzano – MappaPosizione del comune di Valenzano all'interno della città metropolitana di Bari,Valenzano – MappaPosizione del comune di Valenzano all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
