Giovinazzo comune,Giovinazzo comune.1
,
Giovinazzo – Veduta,Giovinazzo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Michele Sollecito (lista civica) dal 26-6-2022
Data di istituzione,17 marzo 1861
Territorio,Territorio
Coordinate,41°11′N 16°40′E
Altitudine,7 m s.l.m.
Superficie,"44,3 km²"
Abitanti,19 093[1] (30-11-2025)
Densità,"430,99 ab./km²"
Frazioni,"Sette Torri, San Matteo, Le Macchie"
Comuni confinanti,"Bari, Bitonto, Molfetta, Terlizzi"
Altre informazioni,Altre informazioni
Cod. postale,70054
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072022
Cod. catastale,E047
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 190 GG[3]"
Nome abitanti,giovinazzesi
Patrono,"san Tommaso Apostolo, Maria SS. di Corsignano"
Giorno festivo,3 luglio (S. Tommaso) e 18 agosto (Madonna di Corsignano)
Cartografia,Cartografia
Giovinazzo,Giovinazzo
Giovinazzo – MappaPosizione del comune di Giovinazzo all'interno della città metropolitana di Bari,Giovinazzo – MappaPosizione del comune di Giovinazzo all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
