Turi comune,Turi comune.1
,
Turi – VedutaVeduta della città da Monteferraro con le colline dell'Alta Murgia sullo sfondo,Turi – VedutaVeduta della città da Monteferraro con le colline dell'Alta Murgia sullo sfondo
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Giuseppe De Tomaso (lista civica) dal 12-6-2024
Territorio,Territorio
Coordinate,40°55′N 17°01′E
Altitudine,251 m s.l.m.
Superficie,"70,9 km²"
Abitanti,12 964[1] (30-11-2025)
Densità,"182,85 ab./km²"
Comuni confinanti,"Casamassima, Conversano, Gioia del Colle, Putignano, Rutigliano, Sammichele di Bari"
Altre informazioni,Altre informazioni
Cod. postale,70010
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072047
Cod. catastale,L472
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 687 GG[3]"
Nome abitanti,turesi
Patrono,"San Giovanni Battista[4], Oronzo di Lecce[5][6]"
Giorno festivo,26 agosto
Motto,Ex Tauro Civium Fertilitas
Cartografia,Cartografia
Turi,Turi
Turi – MappaPosizione del comune di Turi nella città metropolitana di Bari,Turi – MappaPosizione del comune di Turi nella città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
