Castellana Grotte comune,Castellana Grotte comune.1
,
Castellana Grotte – Veduta,Castellana Grotte – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Domi Ciliberti (Lega per Salvini Premier) dal 26-6-2022
Territorio,Territorio
Coordinate,40°53′01.58″N 17°10′04.29″E
Altitudine,290 m s.l.m.
Superficie,"69,13 km²"
Abitanti,19 691[1] (30-11-2025)
Densità,"284,84 ab./km²"
Frazioni,"Genna, Regio, Fanelli, Cucumo, Pozzo Stramazzo, Rosatella, Torre di Mastro, Torre Due Pani, Oronzo Persio, Monte Cipolla, La Pergola"
Comuni confinanti,"Alberobello, Conversano, Monopoli, Noci, Polignano a Mare, Putignano"
Altre informazioni,Altre informazioni
Cod. postale,70013
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072017
Cod. catastale,C134
Targa,BA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona D, 1 673 GG[3]"
Nome abitanti,Castellanesi
Patrono,Maria S.S. della Vetrana
Giorno festivo,12 gennaio e l'ultima domenica di aprile
Cartografia,Cartografia
Castellana Grotte,Castellana Grotte
Castellana Grotte – MappaPosizione del comune di Castellana Grotte all'interno della città metropolitana di Bari,Castellana Grotte – MappaPosizione del comune di Castellana Grotte all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
