Locorotondo comune,Locorotondo comune.1
,
Locorotondo – Veduta,Locorotondo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Antonio Bufano (Lista civica) dal 21-9-2020
Territorio,Territorio
Coordinate,40°45′N 17°19′E
Altitudine,410 m s.l.m.
Superficie,"48,19 km²"
Abitanti,13 790[1] (30-11-2025)
Densità,"286,16 ab./km²"
Frazioni,"Lamie di Olimpia, Laureto, San Marco, Crocifisso, Tagaro, Trito, Pentassuglia, Semeraro, ecc. (in tutto 138)"
Comuni confinanti,"Alberobello, Cisternino (BR), Fasano (BR), Martina Franca (TA)"
Altre informazioni,Altre informazioni
Cod. postale,70010
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072025
Cod. catastale,E645
Targa,BA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona D, 1 618 GG[3]"
Nome abitanti,locorotondesi
Patrono,San Giorgio Martire[4]
Giorno festivo,23 aprile[4]
Cartografia,Cartografia
Locorotondo,Locorotondo
Locorotondo – MappaPosizione del comune di Locorotondo all'interno della città metropolitana di Bari,Locorotondo – MappaPosizione del comune di Locorotondo all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
