Gravina in Puglia comune,Gravina in Puglia comune.1
(dettagli)  (dettagli),(dettagli)  (dettagli)
Gravina in Puglia – VedutaLa cattedrale vista dalla gravina,Gravina in Puglia – VedutaLa cattedrale vista dalla gravina
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Fedele Lagreca (Coalizione civica) dal 5-7-2022
Data di istituzione,19 gennaio 1863
Territorio,Territorio
Coordinate,40°49′14″N 16°25′24″E
Altitudine,370 m s.l.m.
Superficie,"384,73 km²"
Abitanti,42 018[1] (30-11-2025)
Densità,"109,21 ab./km²"
Frazioni,"Barisci, Dolcecanto, Scarpara, Lago di Serra del Corvo, Murgetta, Pantanella, Pescofaliero, Rifezza"
Comuni confinanti,"Altamura, Poggiorsini, Ruvo di Puglia, Spinazzola (BT), Genzano di Lucania (PZ), Grottole (MT), Irsina (MT), Matera (MT)"
Altre informazioni,Altre informazioni
Cod. postale,70024
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072023
Cod. catastale,E155
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 746 GG[3]"
Nome abitanti,gravinesi
Patrono,San Michele Arcangelo
Giorno festivo,29 settembre
Motto,"(LA) Grana dat et Vina ""Offre grano e vino"""
Cartografia,Cartografia
Gravina in Puglia,Gravina in Puglia
Gravina in Puglia – MappaPosizione del comune di Gravina in Puglia all'interno della città metropolitana di Bari,Gravina in Puglia – MappaPosizione del comune di Gravina in Puglia all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
