Corato comune,Corato comune.1
,
Corato – VedutaIl municipio di Corato,Corato – VedutaIl municipio di Corato
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Corrado Nicola De Benedittis (DemoS) dal 5-10-2020
Territorio,Territorio
Coordinate,41°09′N 16°24′E
Altitudine,232 m s.l.m.
Superficie,"169,35 km²"
Abitanti,46 857[1] (30-11-2025)
Densità,"276,69 ab./km²"
Comuni confinanti,"Andria (BT), Bisceglie (BT), Ruvo di Puglia, Trani (BT)"
Altre informazioni,Altre informazioni
Cod. postale,70033
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072020
Cod. catastale,C983
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 545 GG[3]"
Nome abitanti,coratini
Patrono,san Cataldo[4]
Giorno festivo,10 maggio[4]
Cartografia,Cartografia
Corato,Corato
Corato – MappaPosizione del comune di Corato all'interno della città metropolitana di Bari,Corato – MappaPosizione del comune di Corato all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
