Conversano comune,Conversano comune.1
,
Conversano – Veduta,Conversano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Angelo Caccavone (commissario prefettizio) dal 27-01-2026
Data di istituzione,17 marzo 1861
Territorio,Territorio
Coordinate,40°58′N 17°07′E
Altitudine,219 m s.l.m.
Superficie,"128,42 km²"
Abitanti,26 007[1] (30-11-2025)
Densità,"202,52 ab./km²"
Frazioni,Castiglione e parte di Triggianello
Comuni confinanti,"Castellana Grotte, Mola di Bari, Polignano a Mare, Putignano, Rutigliano, Turi"
Altre informazioni,Altre informazioni
Cod. postale,70014
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072019
Cod. catastale,C975
Targa,BA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona D, 1 642 GG[3]"
Nome abitanti,conversanesi
Patrono,Maria Santissima della Fonte e San Flaviano
Giorno festivo,4ª domenica di maggio e 24 novembre
Cartografia,Cartografia
Conversano,Conversano
Conversano – MappaPosizione del comune di Conversano all'interno della città metropolitana di Bari,Conversano – MappaPosizione del comune di Conversano all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
