Acquaviva delle Fonti comune,Acquaviva delle Fonti comune.1
(dettagli),(dettagli)
Acquaviva delle Fonti – VedutaPanorama della città,Acquaviva delle Fonti – VedutaPanorama della città
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Marco Lenoci (indipendente di centro-destra) dal 29-5-2023
Data di istituzione,19 gennaio 1863
Territorio,Territorio
Coordinate,40°54′N 16°51′E
Altitudine,300 m s.l.m.
Superficie,"132,03 km²"
Abitanti,19 688[1] (30-11-2025)
Densità,"149,12 ab./km²"
Sottodivisioni ulteriori,"Baronaggio, Cacascola, Collone, Curtomartino, Malano, Molignana, Scappagrano"
Comuni confinanti,"Adelfia, Casamassima, Cassano delle Murge, Gioia del Colle, Sammichele di Bari, Sannicandro di Bari, Santeramo in Colle"
Altre informazioni,Altre informazioni
Cod. postale,70021
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072001
Cod. catastale,A048
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 610 GG[3]"
Nome abitanti,acquavivesi
Patrono,"Madonna di Costantinopoli, sant'Eustachio, san Sebastiano (compatrono)"
Giorno festivo,"20 maggio, 1º martedì di marzo, 1º martedì di settembre"
Cartografia,Cartografia
Acquaviva delle Fonti,Acquaviva delle Fonti
Acquaviva delle Fonti – MappaPosizione del comune di Acquaviva delle Fonti all'interno della città metropolitana di Bari,Acquaviva delle Fonti – MappaPosizione del comune di Acquaviva delle Fonti all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
