Cassano delle Murge comune,Cassano delle Murge comune.1
,
Cassano delle Murge – VedutaVista panoramica,Cassano delle Murge – VedutaVista panoramica
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Davide Del Re (indipendente di centro-sinistra) dal 12-6-2022
Data di istituzione,19-1-1863
Territorio,Territorio
Coordinate,40°53′N 16°46′E
Altitudine,341 m s.l.m.
Superficie,"90,2 km²"
Abitanti,15 257[1] (30-11-2025)
Densità,"169,15 ab./km²"
Frazioni,"Borgo Fra' Diavolo, Borgo Incoronata - Lagogemolo, Borgo Parco La Vecchia, Borgo dei Pini Mercadante, Circito, Collina S. Lucia, Costone di Bruno Taròla"
Comuni confinanti,"Acquaviva delle Fonti, Altamura, Grumo Appula, Sannicandro di Bari, Santeramo in Colle"
Altre informazioni,Altre informazioni
Cod. postale,70020
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072016
Cod. catastale,B998
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 648 GG[3]"
Nome abitanti,cassanesi
Patrono,Maria Santissima degli Angeli
Giorno festivo,2 agosto
Cartografia,Cartografia
Cassano delle Murge,Cassano delle Murge
Cassano delle Murge – MappaPosizione del comune di Cassano delle Murge all'interno della città metropolitana di Bari,Cassano delle Murge – MappaPosizione del comune di Cassano delle Murge all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
