Gioia del Colle comune,Gioia del Colle comune.1
,
Gioia del Colle – VedutaPiazza Plebiscito,Gioia del Colle – VedutaPiazza Plebiscito
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Giovanni Mastrangelo (FdI) dal 27-5-2019 (2º mandato dal 9-7-2024)
Data di istituzione,19 gennaio 1863
Territorio,Territorio
Coordinate,40°48′N 16°56′E
Altitudine,362 m s.l.m.
Superficie,"208,94 km²"
Abitanti,26 443[1] (30-11-2025)
Densità,"126,56 ab./km²"
Frazioni,"Colonia Hanseniana, Corvello, La Torre, Casino Eramo e Marzagaglia, Monte Sannace, Montursi, Santa Candida, Terzi, Villaggio Azzurro"
Comuni confinanti,"Acquaviva delle Fonti, Castellaneta (TA), Laterza (TA), Mottola (TA), Noci, Putignano, Sammichele di Bari, Santeramo in Colle, Turi"
Altre informazioni,Altre informazioni
Cod. postale,70023
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072021
Cod. catastale,E038
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 755 GG[3]"
Nome abitanti,gioiesi
Patrono,"san Filippo Neri, san Rocco di Montpellier"
Giorno festivo,"26 maggio, 16 agosto"
Cartografia,Cartografia
Gioia del Colle,Gioia del Colle
Gioia del Colle – MappaPosizione del comune di Gioia del Colle all'interno della città metropolitana di Bari,Gioia del Colle – MappaPosizione del comune di Gioia del Colle all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
