Capurso comune,Capurso comune.1
,
Capurso – Veduta,Capurso – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Michele Laricchia (Italia in Comune) dal 22-9-2020
Data di istituzione,17 marzo 1861
Territorio,Territorio
Coordinate,41°03′N 16°55′E
Altitudine,74 m s.l.m.
Superficie,"15,14 km²"
Abitanti,15 120[1] (30-11-2025)
Densità,"998,68 ab./km²"
Frazioni,"San Pietro[2], Superga[3]"
Comuni confinanti,"Bari, Casamassima, Cellamare, Noicattaro, Triggiano, Valenzano"
Altre informazioni,Altre informazioni
Cod. postale,70010
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072014
Cod. catastale,B716
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona C, 1 287 GG[5]"
Nome abitanti,capursesi
Patrono,san Giuseppe e Madonna del Pozzo
Giorno festivo,"19 marzo, ultima Domenica di maggio e ultima Domenica di agosto"
Cartografia,Cartografia
Capurso,Capurso
Capurso – MappaPosizione del comune di Capurso all'interno della città metropolitana di Bari,Capurso – MappaPosizione del comune di Capurso all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
