Rutigliano comune,Rutigliano comune.1
,
Rutigliano – Veduta,Rutigliano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Giuseppe Valenzano (centro-sinistra) dal 9-6-2019 (2º mandato dal 17-6-2024)
Data di istituzione,17 marzo 1861
Territorio,Territorio
Coordinate,40°59′48.76″N 17°00′24.67″E
Altitudine,125 m s.l.m.
Superficie,"53,85 km²"
Abitanti,18 246[1] (30-11-2025)
Densità,"338,83 ab./km²"
Frazioni,"Una parte di San Materno, Caggiano, Castiello, Ciccopinto, Pozzo Falco, San Lorenzo"
Comuni confinanti,"Casamassima, Conversano, Mola di Bari, Noicattaro, Turi"
Altre informazioni,Altre informazioni
Cod. postale,70018
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072037
Cod. catastale,H643
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 360 GG[3]"
Nome abitanti,rutiglianesi
Patrono,"san Nicola di Bari, Madonna del Carmine, Festa del Santissimo Crocifisso di Rutigliano"
Giorno festivo,"6 dicembre, seconda domenica di maggio, 16 luglio, 14 settembre"
Cartografia,Cartografia
Rutigliano,Rutigliano
Rutigliano – MappaPosizione del comune di Rutigliano all'interno della città metropolitana di Bari,Rutigliano – MappaPosizione del comune di Rutigliano all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
