Modugno comune,Modugno comune.1
,
Modugno – VedutaPiazza Sedile,Modugno – VedutaPiazza Sedile
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Nicola Bonasia (lista civica) dal 6-10-2020
Data di istituzione,17 marzo 1861
Territorio,Territorio
Coordinate,41°05′N 16°47′E
Altitudine,79 m s.l.m.
Superficie,"32,24 km²"
Abitanti,36 000[1] (30-11-2025)
Densità,"1 116,63 ab./km²"
Comuni confinanti,"Bari, Bitetto, Bitonto, Bitritto"
Altre informazioni,Altre informazioni
Cod. postale,70026
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072027
Cod. catastale,F262
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 311 GG[3]"
Nome abitanti,modugnesi
Patrono,san Nicola da Tolentino (patrono) Madonna Addolorata e san Rocco (protettori)
Giorno festivo,"lunedì successivo alla quarta domenica di settembre (San Nicola da Tolentino e San Rocco), 10 marzo (Madonna Addolorata)"
Cartografia,Cartografia
Modugno,Modugno
Modugno – MappaPosizione del comune di Modugno all'interno della città metropolitana di Bari,Modugno – MappaPosizione del comune di Modugno all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
