Ruvo di Puglia comune,Ruvo di Puglia comune.1
,
Ruvo di Puglia – VedutaVeduta della Cattedrale di Ruvo,Ruvo di Puglia – VedutaVeduta della Cattedrale di Ruvo
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Pasquale Roberto Chieco (PD) dal 24-6-2016 (2º mandato dal 26-10-2021)
Data di istituzione,19-1-1863
Territorio,Territorio
Coordinate,41°07′02.24″N 16°29′01.41″E
Altitudine,266 m s.l.m.
Superficie,221 km²
Abitanti,24 098[1] (30-11-2025)
Densità,"109,04 ab./km²"
Frazioni,Calendano
Comuni confinanti,"Altamura, Andria (BT), Bisceglie (BT), Bitonto, Corato, Gravina in Puglia, Spinazzola (BT), Terlizzi"
Altre informazioni,Altre informazioni
Cod. postale,70037
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072038
Cod. catastale,H645
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 579 GG[3]"
Nome abitanti,ruvesi o ruvestini[4]
Patrono,"san Biagio[5], San Cleto Papa[6], san Rocco[7], Santissimo Sacramento[8]"
Giorno festivo,"3 febbraio[5], 26 aprile[6], 16 agosto[7], otto giorni dopo il Corpus Domini[8]"
Soprannome,Città del Talos
Motto,"«Ruvo morì per rivivere, come la Fenice d'Eliopoli, dal cener di sé»[9]"
Cartografia,Cartografia
Ruvo di Puglia,Ruvo di Puglia
Ruvo di Puglia – MappaPosizione del comune di Ruvo di Puglia all'interno della città metropolitana di Bari,Ruvo di Puglia – MappaPosizione del comune di Ruvo di Puglia all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
