Terlizzi comune,Terlizzi comune.1
,
Terlizzi – VedutaLa Torre Normanna in piazza Cavour,Terlizzi – VedutaLa Torre Normanna in piazza Cavour
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Michelangelo De Chirico (PD) dal 18-6-2022
Data di istituzione,19 gennaio 1863
Territorio,Territorio
Coordinate,41°08′N 16°33′E
Altitudine,190 m s.l.m.
Superficie,"69,23 km²"
Abitanti,25 954[1] (30-11-2025)
Densità,"374,9 ab./km²"
Frazioni,"Ciurcitano, Cesano, Sovereto"
Comuni confinanti,"Bisceglie (BT), Bitonto, Giovinazzo, Molfetta, Ruvo di Puglia"
Altre informazioni,Altre informazioni
Cod. postale,70038
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072043
Cod. catastale,L109
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 454 GG[3]"
Nome abitanti,terlizzesi
Patrono,"santa Maria di Sovereto, san Michele e Madonna del Rosario"
Giorno festivo,"23 aprile, prima domenica di agosto, prima domenica di ottobre"
Cartografia,Cartografia
Terlizzi,Terlizzi
Terlizzi – MappaPosizione del comune di Terlizzi all'interno della città metropolitana di Bari,Terlizzi – MappaPosizione del comune di Terlizzi all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
