Bari comune,Bari comune.1
(dettagli),(dettagli)
Bari – VedutaVista dall'alto sul centro storico della città,Bari – VedutaVista dall'alto sul centro storico della città
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Vito Leccese (PD) dal 9-7-2024
Territorio,Territorio
Coordinate,41°07′31″N 16°52′00″E
Altitudine,5 m s.l.m.
Superficie,"116,17 km²"
Abitanti,316 251[1] (30-11-2025)
Densità,"2 722,31 ab./km²"
Comuni confinanti,"Adelfia, Bitonto, Bitritto, Capurso, Giovinazzo, Modugno, Mola di Bari, Noicattaro, Triggiano, Valenzano"
Altre informazioni,Altre informazioni
Cod. postale,70121–70132
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072006
Cod. catastale,A662
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 185 GG[3]"
Nome abitanti,baresi
Patrono,San Nicola
Giorno festivo,8 maggio e 6 dicembre
Cartografia,Cartografia
Bari,Bari
Bari – MappaPosizione del comune di Bari all'interno dell'omonima città metropolitana,Bari – MappaPosizione del comune di Bari all'interno dell'omonima città metropolitana
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
