Grumo Appula comune,Grumo Appula comune.1
,
Grumo Appula – VedutaPiazza Vittorio Veneto. Municipio,Grumo Appula – VedutaPiazza Vittorio Veneto. Municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Michele Antonio Minenna (Lista civica Impegno P.E.R. Grumo) dal 22-9-2020
Data di istituzione,19 gennaio 1863
Territorio,Territorio
Coordinate,41°01′N 16°42′E
Altitudine,181 m s.l.m.
Superficie,"81,3 km²"
Abitanti,11 976[1] (30-11-2025)
Densità,"147,31 ab./km²"
Frazioni,Mellitto
Comuni confinanti,"Altamura, Binetto, Cassano delle Murge, Sannicandro di Bari, Toritto"
Altre informazioni,Altre informazioni
Cod. postale,70025
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072024
Cod. catastale,E223
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 441 GG[3]"
Nome abitanti,grumesi
Patrono,"san Rocco, Maria SS. di Monteverde"
Cartografia,Cartografia
Grumo Appula,Grumo Appula
Grumo Appula – MappaPosizione del comune di Grumo Appula all'interno della città metropolitana di Bari,Grumo Appula – MappaPosizione del comune di Grumo Appula all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
