Bitetto comune,Bitetto comune.1
,
Bitetto – Veduta,Bitetto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Fiorenza Pascazio (PD) dal 1-6-2015 (2º mandato dal 22-9-2020)
Data di istituzione,17 marzo 1861
Territorio,Territorio
Coordinate,41°02′N 16°45′E
Altitudine,139 m s.l.m.
Superficie,"33,95 km²"
Abitanti,11 746[1] (30-11-2025)
Densità,"345,98 ab./km²"
Comuni confinanti,"Binetto, Bitonto, Bitritto, Modugno, Palo del Colle, Sannicandro di Bari"
Altre informazioni,Altre informazioni
Cod. postale,70020
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072010
Cod. catastale,A892
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 380 GG[3]"
Nome abitanti,bitettesi
Patrono,"Beato Giacomo, san Michele Arcangelo, Maria S.S. Addolorata"
Giorno festivo,"27 aprile (Beato Giacomo), 29 settembre (san Michele), prima domenica di settembre (Addolorata)"
Cartografia,Cartografia
Bitetto,Bitetto
Bitetto – MappaPosizione del comune di Bitetto all'interno della città metropolitana di Bari,Bitetto – MappaPosizione del comune di Bitetto all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
