Bitritto comune,Bitritto comune.1
,
Bitritto – Veduta,Bitritto – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Giuseppe Giulitto (PD) dal 26-5-2014 (3º mandato dal 09-6-2024)
Data di istituzione,17 marzo 1861
Territorio,Territorio
Coordinate,41°03′N 16°50′E
Altitudine,102 m s.l.m.
Superficie,"17,98 km²"
Abitanti,11 333[1] (30-11-2025)
Densità,"630,31 ab./km²"
Comuni confinanti,"Adelfia, Bari, Bitetto, Modugno, Sannicandro di Bari"
Altre informazioni,Altre informazioni
Cod. postale,70020
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072012
Cod. catastale,A894
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 327 GG[3]"
Nome abitanti,bitrittesi
Patrono,Maria ss. di Costantinopoli
Giorno festivo,primo martedì di marzo
Cartografia,Cartografia
Bitritto,Bitritto
Bitritto – MappaPosizione del comune di Bitritto all'interno della città metropolitana di Bari,Bitritto – MappaPosizione del comune di Bitritto all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
