Palo del Colle comune,Palo del Colle comune.1
,
Palo del Colle – VedutaPiazza Santa Croce,Palo del Colle – VedutaPiazza Santa Croce
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Tommaso Amendolara (centro-sinistra) dal 5-10-2020
Data di istituzione,19-1-1863
Territorio,Territorio
Coordinate,41°03′N 16°42′E
Altitudine,177 m s.l.m.
Superficie,"79,71 km²"
Abitanti,20 251[1] (30-11-2025)
Densità,"254,06 ab./km²"
Frazioni,Auricarro
Comuni confinanti,"Bitonto, Toritto, Binetto, Bitetto"
Altre informazioni,Altre informazioni
Cod. postale,70027
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072033
Cod. catastale,G291
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 435 GG[3]"
Nome abitanti,Palesi
Patrono,"Santissimo Crocifisso di Auricarro, Santa Maria La Porta."
Giorno festivo,3 maggio: Auricarro; 3ª domenica di settembre: Palo del Colle - 20 Giugno.
Cartografia,Cartografia
Palo del Colle,Palo del Colle
Palo del Colle – MappaPosizione del comune di Palo del Colle all'interno della città metropolitana di Bari,Palo del Colle – MappaPosizione del comune di Palo del Colle all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
