Altamura comune,Altamura comune.1
,
Altamura – Veduta,Altamura – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Vitantonio Petronella (indipendente di centro) dal 29-5-2023
Territorio,Territorio
Coordinate,40°49′N 16°33′E
Altitudine,467[1] m s.l.m.
Superficie,"431,38[2] km²"
Abitanti,70 330[3] (30-11-2025)
Densità,"163,03 ab./km²"
Frazioni,"Curtaniello, Fornello, Madonna del Buon Cammino, Masseria Franchini, Casal Sabini, Parisi Vecchia, Selva, Graviscella, Masseria di Pescariello"
Comuni confinanti,"Bitonto, Cassano delle Murge, Gravina in Puglia, Grumo Appula, Matera (MT), Ruvo di Puglia, Santeramo in Colle, Toritto"
Altre informazioni,Altre informazioni
Cod. postale,70022
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072004
Cod. catastale,A225
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona D, 1 858 GG[5]"
Nome abitanti,altamurani
Patrono,sant'Irene vergine e martire
Giorno festivo,5 maggio
Soprannome,Leonessa di Puglia[senza fonte]
Cartografia,Cartografia
Altamura,Altamura
Altamura – MappaPosizione del comune di Altamura nella città metropolitana di Bari,Altamura – MappaPosizione del comune di Altamura nella città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
