Binetto comune,Binetto comune.1
,
Binetto – VedutaChiesa dell'Assunta - Veduta,Binetto – VedutaChiesa dell'Assunta - Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Vito Bozzi (lista civica Noi per Binetto-Passione comune) dal 27-5-2019 (2º mandato dal 9-6-2024)
Data di istituzione,17 marzo 1861
Territorio,Territorio
Coordinate,41°01′27″N 16°42′38″E
Altitudine,170 m s.l.m.
Superficie,"17,65 km²"
Abitanti,2 182[1] (30-11-2025)
Densità,"123,63 ab./km²"
Comuni confinanti,"Bitetto, Bitonto, Grumo Appula, Palo del Colle, Sannicandro di Bari, Toritto"
Altre informazioni,Altre informazioni
Cod. postale,70020
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072008
Cod. catastale,A874
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 425 GG[3]"
Nome abitanti,binettesi
Patrono,"san Crescenzio, Madonna di Costantinopoli"
Giorno festivo,"Ultima domenica di agosto, primo martedì di marzo"
Cartografia,Cartografia
Binetto,Binetto
Binetto – MappaPosizione del comune di Binetto all'interno della città metropolitana di Bari,Binetto – MappaPosizione del comune di Binetto all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
