Poggiorsini comune,Poggiorsini comune.1
,
Poggiorsini – VedutaParrocchia Maria Ss. Addolorata,Poggiorsini – VedutaParrocchia Maria Ss. Addolorata
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Città metropolitana,Bari
Amministrazione,Amministrazione
Sindaco,Pietro Picerno (lista civica Liberamente) dal 15-5-2023
Data di istituzione,15-5-1957
Territorio,Territorio
Coordinate,40°55′N 16°15′E
Altitudine,460 m s.l.m.
Superficie,"43,44 km²"
Abitanti,1 242[1] (30-11-2025)
Densità,"28,59 ab./km²"
Comuni confinanti,"Genzano di Lucania (PZ), Gravina in Puglia, Spinazzola (BT)"
Altre informazioni,Altre informazioni
Cod. postale,70020
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,072034
Cod. catastale,G769
Targa,BA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 820 GG[3]"
Nome abitanti,poggiorsinesi
Patrono,Maria SS. Addolorata
Giorno festivo,9-10-11 agosto
Cartografia,Cartografia
Poggiorsini,Poggiorsini
Poggiorsini – MappaPosizione del comune di Poggiorsini all'interno della città metropolitana di Bari,Poggiorsini – MappaPosizione del comune di Poggiorsini all'interno della città metropolitana di Bari
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
